population-level,bf.log,priors
1,0.0000,chosen
diagnosis * dir_face,-8.8537,chosen
diagnosis + dir_face,-2.1375,chosen
diagnosis,0.6660,chosen
dir_face,-2.8168,chosen
1,0.0000,sdx2
diagnosis * dir_face,-13.5389,sdx2
diagnosis + dir_face,-4.7559,sdx2
diagnosis,-1.2539,sdx2
dir_face,-3.5177,sdx2
1,0.0000,sdx4
diagnosis * dir_face,-18.3465,sdx4
diagnosis + dir_face,-7.4890,sdx4
diagnosis,-3.2908,sdx4
dir_face,-4.2032,sdx4
1,0.0000,sdx8
diagnosis * dir_face,-23.1874,sdx8
diagnosis + dir_face,-10.2474,sdx8
diagnosis,-5.3463,sdx8
dir_face,-4.8977,sdx8
1,0.0000,sdx0.5
diagnosis * dir_face,-4.5224,sdx0.5
diagnosis + dir_face,0.1459,sdx0.5
diagnosis,2.2600,sdx0.5
dir_face,-2.1216,sdx0.5
1,0.0000,sdx0.25
diagnosis * dir_face,-0.9141,sdx0.25
diagnosis + dir_face,1.8109,sdx0.25
diagnosis,3.2250,sdx0.25
dir_face,-1.4317,sdx0.25
1,0.0000,sdx0.125
diagnosis * dir_face,1.7003,sdx0.125
diagnosis + dir_face,2.7478,sdx0.125
diagnosis,3.4968,sdx0.125
dir_face,-0.7604,sdx0.125
