population-level,bf.log,priors
1,0.0000,chosen
diagnosis * cue,-10.4048,chosen
diagnosis + cue,-0.6427,chosen
diagnosis,2.3868,chosen
cue,-3.0044,chosen
1,0.0000,sdx2
diagnosis * cue,-15.0194,sdx2
diagnosis + cue,-3.1830,sdx2
diagnosis,0.5319,sdx2
cue,-3.6911,sdx2
1,0.0000,sdx4
diagnosis * cue,-19.8085,sdx4
diagnosis + cue,-5.8890,sdx4
diagnosis,-1.4941,sdx4
cue,-4.3855,sdx4
1,0.0000,sdx8
diagnosis * cue,-24.6373,sdx8
diagnosis + cue,-8.6501,sdx8
diagnosis,-3.5508,sdx8
cue,-5.0845,sdx8
1,0.0000,sdx0.5
diagnosis * cue,-6.2598,sdx0.5
diagnosis + cue,1.4367,sdx0.5
diagnosis,3.7649,sdx0.5
cue,-2.3035,sdx0.5
1,0.0000,sdx0.25
diagnosis * cue,-2.8733,sdx0.25
diagnosis + cue,2.7693,sdx0.25
diagnosis,4.4291,sdx0.25
cue,-1.6328,sdx0.25
1,0.0000,sdx0.125
diagnosis * cue,0.0384,sdx0.125
diagnosis + cue,3.7224,sdx0.125
diagnosis,4.7226,sdx0.125
cue,-0.9808,sdx0.125
