population-level,bf.log,priors
1,0.0000,chosen
diagnosis * dir_face,-13.1247,chosen
diagnosis + dir_face,-2.0022,chosen
diagnosis,2.2585,chosen
dir_face,-4.2662,chosen
1,0.0000,sdx2
diagnosis * dir_face,-17.7371,sdx2
diagnosis + dir_face,-4.5436,sdx2
diagnosis,0.4168,sdx2
dir_face,-4.9713,sdx2
1,0.0000,sdx4
diagnosis * dir_face,-22.5093,sdx4
diagnosis + dir_face,-7.2452,sdx4
diagnosis,-1.5892,sdx4
dir_face,-5.6552,sdx4
1,0.0000,sdx8
diagnosis * dir_face,-27.3487,sdx8
diagnosis + dir_face,-10.0039,sdx8
diagnosis,-3.6600,sdx8
dir_face,-6.3472,sdx8
1,0.0000,sdx0.5
diagnosis * dir_face,-8.9827,sdx0.5
diagnosis + dir_face,0.0540,sdx0.5
diagnosis,3.6306,sdx0.5
dir_face,-3.5748,sdx0.5
1,0.0000,sdx0.25
diagnosis * dir_face,-5.5424,sdx0.25
diagnosis + dir_face,1.4230,sdx0.25
diagnosis,4.3023,sdx0.25
dir_face,-2.8825,sdx0.25
1,0.0000,sdx0.125
diagnosis * dir_face,-2.5314,sdx0.125
diagnosis + dir_face,2.4025,sdx0.125
diagnosis,4.6030,sdx0.125
dir_face,-2.2010,sdx0.125
