population-level,bf.log,priors
1,0.0000,chosen
diagnosis * cue,-12.6804,chosen
diagnosis + cue,-5.1015,chosen
diagnosis,-4.0434,chosen
cue,-1.0940,chosen
1,0.0000,sdx2
diagnosis * cue,-17.4598,sdx2
diagnosis + cue,-7.7917,sdx2
diagnosis,-6.0489,sdx2
cue,-1.8017,sdx2
1,0.0000,sdx4
diagnosis * cue,-22.2843,sdx4
diagnosis + cue,-10.5267,sdx4
diagnosis,-8.0926,sdx4
cue,-2.5074,sdx4
1,0.0000,sdx8
diagnosis * cue,-27.1420,sdx8
diagnosis + cue,-13.3073,sdx8
diagnosis,-10.1728,sdx8
cue,-3.1993,sdx8
1,0.0000,sdx0.5
diagnosis * cue,-8.1701,sdx0.5
diagnosis + cue,-2.6781,sdx0.5
diagnosis,-2.2870,sdx0.5
cue,-0.4081,sdx0.5
1,0.0000,sdx0.25
diagnosis * cue,-4.2935,sdx0.25
diagnosis + cue,-0.9212,sdx0.25
diagnosis,-1.0550,sdx0.25
cue,0.1378,sdx0.25
1,0.0000,sdx0.125
diagnosis * cue,-0.8149,sdx0.125
diagnosis + cue,-0.4616,sdx0.125
diagnosis,-0.2247,sdx0.125
cue,-0.2411,sdx0.125
